genreID,genre
1,Drama
2,Documentary
3,Sport
4,Family
5,Romance
6,Comedy
7,Adventure
8,Fantasy
9,Mystery
10,Action
11,Crime
12,Thriller
13,Sci-Fi
14,Biography
15,Horror
16,Animation
17,Music
18,War
19,History
20,Musical
21,Western
22,Adult
23,Reality-TV
24,News
25,Talk-Show
26,Game-Show
