nameID,movieID
1,72308
1,50419
1,27125
1,31983
2,37382
2,75213
2,117057
2,38355
3,57345
3,49189
3,56404
3,54452
4,72562
4,77975
4,80455
4,78723
5,50986
5,69467
5,50976
5,83922
6,34583
6,38109
6,36855
6,38787
7,34583
7,43265
7,37382
7,33870
8,78788
8,68646
8,47296
8,70849
9,61184
9,87803
9,59749
9,57877
10,29870
10,31867
10,42041
10,34236
11,44706
11,34167
11,27996
11,33373
12,42192
12,56687
12,35140
12,31210
13,48317
13,45591
13,53172
13,40745
14,31381
14,41452
14,29843
14,40806
15,48028
15,48545
15,49261
15,39123
16,91763
16,96320
16,69946
16,79477
17,51201
17,21156
17,55031
17,52311
18,43338
18,80736
18,54331
18,49456
19,56801
19,50783
19,47528
19,71129
20,50083
20,82846
20,32551
20,33804
21,32976
21,34248
21,36969
21,39504
22,25316
22,31381
22,23382
22,26752
23,32138
23,37059
23,47522
23,55031
24,82031
24,71877
24,45943
24,28231
25,119488
25,77269
25,117731
25,112715
26,36613
26,32904
26,32599
26,56923
27,76759
27,50212
27,41546
27,51739
28,38559
28,40525
28,40552
28,35103
29,77800
29,102122
29,110138
29,74802
30,54698
30,46250
30,56923
30,58385
31,32904
31,43265
31,63227
31,82846
32,52618
32,49833
32,67525
32,70723
33,54215
33,52357
33,53125
33,34248
34,46359
34,47437
34,43014
34,74958
35,120338
35,499549
35,177971
35,120647
36,17925
36,15163
36,15324
36,16332
37,45152
37,43278
37,41716
37,53946
38,46912
38,47396
38,48728
38,46874
39,49408
39,45793
39,39192
39,50105
40,62622
40,66921
40,72684
40,93058
41,51808
41,80979
41,89881
41,57565
42,46303
42,35432
42,34798
42,38047
43,34240
43,38369
43,35432
43,34881
44,45793
44,85859
44,40823
44,51036
45,68767
45,68935
45,70034
45,67824
46,44081
46,31381
46,33238
46,34272
47,54749
47,60121
47,58335
47,76085
48,36613
48,22100
48,34583
48,33870
49,54698
49,85101
49,57413
49,383216
50,26778
50,31060
50,23027
50,23969
51,56193
51,53125
51,47522
51,39677
52,53779
52,56801
52,76085
52,58335
53,39689
53,56197
53,48424
53,50356
54,53291
54,45810
54,48605
54,45891
55,49408
55,42192
55,65377
55,56085
56,54997
56,257044
56,84855
56,51459
57,38733
57,74937
57,48960
57,57413
58,45061
58,33729
58,39628
58,55277
59,32976
59,69281
59,77269
59,74860
60,56592
60,38109
60,46250
60,77269
61,51201
61,32762
61,34405
61,33405
62,56023
62,56585
62,58725
62,54692
63,57831
63,56172
63,49456
63,64952
64,40506
64,36775
64,38991
64,38057
65,68646
65,63518
65,71562
65,56801
66,45810
66,43643
66,36241
66,44919
67,52618
67,38109
67,36775
67,37884
68,56412
68,26942
68,35757
68,29284
69,45793
69,56218
69,49314
69,52218
70,34583
70,31381
70,40897
70,36613
71,52357
71,52561
71,38650
71,31679
72,61184
72,51459
72,53318
72,61407
73,30657
73,16029
73,31580
73,28118
74,37008
74,37865
74,38492
74,35979
75,61735
75,55031
75,53946
75,42451
76,70460
76,75860
76,53198
76,55032
77,43014
77,32976
77,34248
77,26138
78,65126
78,56217
78,45061
78,75213
79,72281
79,60397
79,61653
79,66115
80,33467
80,52311
80,40525
