movieID,genreID
7662200,1
7662206,1
7662212,2
7662212,3
7662216,1
7662234,2
7662262,1
7662290,1
7662314,1
7662314,4
7662314,5
7662378,1
7662452,1
7662476,1
7662488,6
7662488,1
7662504,1
7662548,1
7662560,1
7662602,6
7662644,7
7662644,4
7662644,8
7662688,2
7662702,1
7662752,1
7662752,9
7662752,5
7662906,10
7662922,10
7662922,11
7662922,12
7662926,6
7662926,1
7662928,2
7662940,11
7662940,1
7662940,13
7662982,2
7663046,2
7663316,6
7663316,8
7663316,9
7663690,1
7663692,1
7663732,14
7663794,1
7663794,5
7663822,1
7664010,15
7664096,6
7664100,16
7664100,6
7664100,1
7664112,5
7664160,1
7664260,7
7664260,11
7664348,2
7664348,4
7664352,2
7664352,3
7664382,2
7664504,14
7664504,2
7664504,1
7664640,2
7664640,3
7664772,15
7664786,2
7664786,8
7664786,17
7664948,2
7664948,18
7665012,15
7665012,13
7665012,12
7665026,1
7665098,4
7665130,14
7665130,2
7665132,4
7665168,1
7665190,15
7665208,1
7665210,1
7665218,1
7665232,1
7665254,6
7665306,1
7665312,2
7665332,2
7665332,8
7665332,5
7665334,1
7665340,6
7665340,5
7665344,1
7665382,1
7665390,2
7665404,1
7665404,5
7665406,2
7665410,2
7665428,2
7665428,19
7665428,15
7665476,2
7665476,19
7665546,2
7665608,10
7665608,1
7665608,19
7665644,2
7665654,6
7665722,7
7665722,4
7665744,2
7665756,1
7665804,2
7665846,2
7665846,3
7666050,15
7666104,1
7666202,2
7666222,12
7666250,14
7666250,1
7666250,19
7666258,10
7666258,11
7666548,2
7666582,2
7666724,1
7666754,1
7666780,2
7666904,2
7666968,6
7666968,1
7666978,2
7666980,2
7666980,1
7666988,1
7666988,4
7666988,5
7667012,1
7667032,2
7667032,17
7667060,2
7667124,1
7667180,2
7667306,11
7667316,2
7667352,1
7667372,2
7667558,6
7667598,2
7667692,2
7667758,2
7667762,6
7667772,2
7667974,7
7667974,1
7667974,12
7668048,10
7668150,2
7668218,2
7668224,2
7668228,1
7668228,8
7668280,1
7668406,2
7668424,5
7668642,1
7668680,2
7668724,10
7668724,1
7668730,1
7668840,1
7668842,6
7668870,1
7668870,9
7668870,12
7669238,6
7669238,1
7669238,4
7669258,9
7669258,18
7669768,1
7669824,6
7669824,1
7670062,10
7670062,7
7670212,11
7670212,1
7670212,15
7670220,2
7670276,6
7670364,2
7670458,2
7670466,15
7670504,16
7670602,19
7670604,6
7670604,1
7670604,5
7670864,7
7670864,1
7670864,19
7670946,6
7670946,1
7671036,10
7671036,6
7671036,8
7671056,1
7671064,6
7671064,1
7671124,1
7671146,1
7671212,6
7671212,1
7671212,15
7671256,1
7671282,6
7671282,4
7671290,4
7671366,1
7671366,4
7671390,6
7671390,5
7671392,6
7671414,11
7671414,1
7671414,15
7671450,1
7671498,8
7671594,6
7671594,5
7671708,10
7671708,12
7671716,2
7671746,6
7671766,1
7671768,1
7671814,1
7671836,1
7671860,6
7671884,2
7671922,10
7672068,6
7672068,1
7672068,12
7672088,2
7672180,1
7672188,6
7672188,5
7672292,6
7672292,5
7672388,1
7672436,19
7672714,12
7672752,1
7672826,1
7672852,6
7672852,8
7672852,5
7672868,5
7672888,1
7672912,1
7672926,1
7673096,2
7673132,10
7673142,1
7673182,2
7673306,1
7673306,9
7673306,13
7673416,2
7673598,2
7673602,6
7673802,15
7673882,6
7673882,11
7673882,8
7673894,2
7673930,6
7673930,1
7673930,5
7673972,6
7673996,1
7674006,5
7674026,10
7674026,12
7674116,10
7674116,7
7674116,6
7674234,10
7674258,10
7674258,1
7674258,5
7674262,14
7674394,10
7674394,6
7674404,2
7674422,2
